Candidate,Position,Start Date,End Date,Years of Experience,Points,,,,,,,,,,,,
Barack Obama,President,1/20/2009,1/20/2017,8.005479452,190,,,,,,,,,,,,
Barack Obama,Secretary of State,,,0,0,,,,,,,,,,,,
Barack Obama,Secretary of Defense,,,0,0,,,,,,,,,,,,
Barack Obama,Secretary of Treasury,,,0,0,,,,,,,,,,,,
Barack Obama,Vice President,,,0,0,,,,,,,,,,,,
Barack Obama,Attorney General,,,0,0,,,,,,,,,,,,
Barack Obama,Military Supreme Commander,,,0,0,,,,,,,,,,,,
Barack Obama,Secretary of Homeland Security,,,0,0,,,,,,,,,,,,
Barack Obama,Presidential Chief of Staff,,,0,0,,,,,,,,,,,,
Barack Obama,Governor,,,0,0,,,,,,,,,,,,
Barack Obama,Speaker of the House,,,0,0,,,,,,,,,,,,
Barack Obama,Senate Leadership,,,0,0,,,,,,,,,,,,
Barack Obama,CIA Director,,,0,0,,,,,,,,,,,,
Barack Obama,General/Admiral,,,0,0,,,,,,,,,,,,
Barack Obama,Other Cabinent Rank or Under Secretary of major department,,,0,0,,,,,,,,,,,,
Barack Obama,Senator,1/3/2005,1/20/2009,4.049315068,18.55,,,,,,,,,,,,
Barack Obama,"Other Executive Experience (CEO, Mayor, President of University)",,,0,0,,,,,,,,,,,,
Barack Obama,Ambassador,,,0,0,,,,,,,,,,,,
Barack Obama,Congressman,,,0,0,,,,,,,,,,,,
Barack Obama,Millitary Battle Experience,,,0,0,,,,,,,,,,,,
Barack Obama,Millitary Non-Battle Experience,,,0,0,,,,,,,,,,,,
Barack Obama,Close Relative of President,,,0,0,,,,,,,,,,,,
George W. Bush,President,1/20/2001,1/20/2009,8.005479452,190,,,,,,,,,,,,
George W. Bush,Secretary of State,,,0,0,,,,,,,,,,,,
George W. Bush,Secretary of Defense,,,0,0,,,,,,,,,,,,
George W. Bush,Secretary of Treasury,,,0,0,,,,,,,,,,,,
George W. Bush,Vice President,,,0,0,,,,,,,,,,,,
George W. Bush,Attorney General,,,0,0,,,,,,,,,,,,
George W. Bush,Military Supreme Commander,,,0,0,,,,,,,,,,,,
George W. Bush,Secretary of Homeland Security,,,0,0,,,,,,,,,,,,
George W. Bush,Presidential Chief of Staff,,,0,0,,,,,,,,,,,,
George W. Bush,Governor,1/17/1995,12/21/2000,5.931506849,53.95,,,,,,,,,,,,
George W. Bush,Speaker of the House,,,0,0,,,,,,,,,,,,
George W. Bush,Senate Leadership,,,0,0,,,,,,,,,,,,
George W. Bush,CIA Director,,,0,0,,,,,,,,,,,,
George W. Bush,General/Admiral,,,0,0,,,,,,,,,,,,
George W. Bush,Other Cabinent Rank or Under Secretary of major department,,,0,0,,,,,,,,,,,,
George W. Bush,Senator,,,0,0,,,,,,,,,,,,
George W. Bush,"Other Executive Experience (CEO, Mayor, President of University)",,,0,0,,,,,,,,,,,,
George W. Bush,Ambassador,,,0,0,,,,,,,,,,,,
George W. Bush,Congressman,,,0,0,,,,,,,,,,,,
George W. Bush,Millitary Battle Experience,,,0,0,,,,,,,,,,,,
George W. Bush,Millitary Non-Battle Experience,,,0,0,,,,,,,,,,,,
George W. Bush,Close Relative of President,1/20/1989,1/20/1993,4.002739726,5.2,,,,,,,,,,,,
Billy Clinton,President,1/20/1993,1/20/2001,8.005479452,190,,,,,,,,,,,,
Billy Clinton,Secretary of State,,,0,0,,,,,,,,,,,,
Billy Clinton,Secretary of Defense,,,0,0,,,,,,,,,,,,
Billy Clinton,Secretary of Treasury,,,0,0,,,,,,,,,,,,
Billy Clinton,Vice President,,,0,0,,,,,,,,,,,,
Billy Clinton,Attorney General,,,0,0,,,,,,,,,,,,
Billy Clinton,Military Supreme Commander,,,0,0,,,,,,,,,,,,
Billy Clinton,Secretary of Homeland Security,,,0,0,,,,,,,,,,,,
Billy Clinton,Presidential Chief of Staff,,,0,0,,,,,,,,,,,,
Billy Clinton,Governor,1/9/1979,1/19/1981,11.95616438,65,1/11/1983,12/12/1992,9.926027397,,,,,,,,,
Billy Clinton,Speaker of the House,,,0,0,,,,,,,,,,,,
Billy Clinton,Senate Leadership,,,0,0,,,,,,,,,,,,
Billy Clinton,CIA Director,,,0,0,,,,,,,,,,,,
Billy Clinton,General/Admiral,,,0,0,,,,,,,,,,,,
Billy Clinton,Other Cabinent Rank or Under Secretary of major department,,,0,0,,,,,,,,,,,,
Billy Clinton,Senator,,,0,0,,,,,,,,,,,,
Billy Clinton,"Other Executive Experience (CEO, Mayor, President of University)",,,0,0,,,,,,,,,,,,
Billy Clinton,Ambassador,,,0,0,,,,,,,,,,,,
Billy Clinton,Congressman,,,0,0,,,,,,,,,,,,
Billy Clinton,Millitary Battle Experience,,,0,0,,,,,,,,,,,,
Billy Clinton,Millitary Non-Battle Experience,,,0,0,,,,,,,,,,,,
Billy Clinton,Close Relative of President,,,0,0,,,,,,,,,,,,
George HW Bush,President,1/20/1989,1/20/1993,4.002739726,104,,,,,,,,,,,,
George HW Bush,Secretary of State,,,0,0,,,,,,,,,,,,
George HW Bush,Secretary of Defense,,,0,0,,,,,,,,,,,,
George HW Bush,Secretary of Treasury,,,0,0,,,,,,,,,,,,
George HW Bush,Vice President,1/20/1981,1/20/1989,8.005479452,85.5,,,,,,,,,,,,
George HW Bush,Attorney General,,,0,0,,,,,,,,,,,,
George HW Bush,Military Supreme Commander,,,0,0,,,,,,,,,,,,
George HW Bush,Secretary of Homeland Security,,,0,0,,,,,,,,,,,,
George HW Bush,Presidential Chief of Staff,,,0,0,,,,,,,,,,,,
George HW Bush,Governor,1/9/1979,1/19/1981,2.030136986,11.7,,,,,,,,,,,,
George HW Bush,Speaker of the House,,,0,0,,,,,,,,,,,,
George HW Bush,Senate Leadership,,,0,0,,,,,,,,,,,,
George HW Bush,CIA Director,1/30/1976,1/20/1977,0.9753424658,4,,,,,,,,,,,,
George HW Bush,General/Admiral,,,0,0,,,,,,,,,,,,
George HW Bush,Other Cabinent Rank or Under Secretary of major department,3/1/1971,1/18/1973,1.887671233,6.4,,,,,,,,,,,,
George HW Bush,Senator,,,0,0,,,,,,,,,,,,
George HW Bush,"Other Executive Experience (CEO, Mayor, President of University)",,,0,0,,,,,,,,,,,,
